in pulse; fbw 0.700000 fc 3000000.000000
in pulse; params.impulse gaussian
got gaussian; ref 0.501187, delta 0.010000, fv 798016110497.225098, tv 3.17416e-14
tc 5.40695e-07
sampling freq 100000000
freq 1e+08, numSteps 109
starting loop, stepSize 1.000000e-08
step 0 response -0.007199
step 1 response -0.009912
step 2 response -0.012921
step 3 response -0.016103
step 4 response -0.019272
step 5 response -0.022186
step 6 response -0.024538
step 7 response -0.025966
step 8 response -0.026063
step 9 response -0.024397
step 10 response -0.020533
step 11 response -0.014067
step 12 response -0.004669
step 13 response 0.007882
step 14 response 0.023643
step 15 response 0.042469
step 16 response 0.063972
step 17 response 0.087487
step 18 response 0.112060
step 19 response 0.136443
step 20 response 0.159125
step 21 response 0.178372
step 22 response 0.192302
step 23 response 0.198984
step 24 response 0.196553
step 25 response 0.183352
step 26 response 0.158071
step 27 response 0.119896
step 28 response 0.068642
step 29 response 0.004866
step 30 response -0.070060
step 31 response -0.153910
step 32 response -0.243628
step 33 response -0.335409
step 34 response -0.424835
step 35 response -0.507073
step 36 response -0.577127
step 37 response -0.630115
step 38 response -0.661586
step 39 response -0.667820
step 40 response -0.646123
step 41 response -0.595072
step 42 response -0.514703
step 43 response -0.406617
step 44 response -0.273994
step 45 response -0.121505
step 46 response 0.044869
step 47 response 0.218119
step 48 response 0.390560
step 49 response 0.554243
step 50 response 0.701404
step 51 response 0.824905
step 52 response 0.918658
step 53 response 0.977986
step 54 response 0.999907
step 55 response 0.983315
step 56 response 0.929047
step 57 response 0.839834
step 58 response 0.720131
step 59 response 0.575850
step 60 response 0.414007
step 61 response 0.242308
step 62 response 0.068700
step 63 response -0.099069
step 64 response -0.253872
step 65 response -0.389567
step 66 response -0.501287
step 67 response -0.585639
step 68 response -0.640800
step 69 response -0.666523
step 70 response -0.664035
step 71 response -0.635869
step 72 response -0.585617
step 73 response -0.517649
step 74 response -0.436805
step 75 response -0.348082
step 76 response -0.256352
step 77 response -0.166104
step 78 response -0.081238
step 79 response -0.004919
step 80 response 0.060508
step 81 response 0.113552
step 82 response 0.153549
step 83 response 0.180586
step 84 response 0.195397
step 85 response 0.199231
step 86 response 0.193708
step 87 response 0.180670
step 88 response 0.162047
step 89 response 0.139734
step 90 response 0.115491
step 91 response 0.090864
step 92 response 0.067138
step 93 response 0.045309
step 94 response 0.026081
step 95 response 0.009880
step 96 response -0.003117
step 97 response -0.012943
step 98 response -0.019798
step 99 response -0.024001
step 100 response -0.025947
step 101 response -0.026068
step 102 response -0.024800
step 103 response -0.022554
step 104 response -0.019699
step 105 response -0.016549
step 106 response -0.013357
step 107 response -0.010314
step 108 response -0.007555
finished loop
Multi-core mutexs have been initialized 
